category,gender,similarity,aff_product_name,aff_brand,aff_category,aff_gender,aff_price,aff_discounted_price,aff_price_tier,aff_brand_tier,aff_combined_tier,aff_segregation,aff_product_url,aff_image_original,aff_image_url,aff_source_platform,exp_product_name,exp_brand,exp_category,exp_gender,exp_price,exp_discounted_price,exp_price_tier,exp_brand_tier,exp_combined_tier,exp_segregation,exp_product_url,exp_image_original,exp_image_url,exp_source_platform
Shoes,Women,0.891363263130188,Women Designer Pencil Heel Sandal For Women Latest and Fancy High Heel Sandal (Pink-37),SHOE CRAFT,Shoes,Women,1199.0,599.0,affordable,budget,affordable,affordable,,women-designer-pencil-heel-sandal-for-women-latest-original.jpg,https://m.media-amazon.com/images/I/61NCz--VGeL._AC_UL320_.jpg,Amazon India,Froh Feet Women's Chunky Platform High Heels Closed Toe Block Heeled Sandal Slip-on Sandal Dress Wedding Party Pumps Shoes,Generic,Shoes,Women,3495.0,1299.0,expensive,unknown,expensive,expensive,,froh-feet-womens-chunky-platform-high-heels-closed-original.jpg,https://m.media-amazon.com/images/I/81mvz9N7hIL._AC_UL320_.jpg,Amazon India
Shoes,Women,0.8071721196174622,"Extra Soft Fashionable & Stylish Slippers/High Heels Designer Wedges Sandal for Girls/Women (Green, 36)",ArranQue,Shoes,Women,899.0,479.0,affordable,budget,affordable,affordable,,extra-soft-fashionable-stylish-slippershigh-heels--original.jpg,https://m.media-amazon.com/images/I/617nujTj8FL._AC_UL320_.jpg,Amazon India,Women's Rain Boots Waterproof Mid Calf Rain Boots for Outdoor Camping Travel,Lyla,Shoes,Women,6299.0,3168.0,expensive,unknown,expensive,expensive,,womens-rain-boots-waterproof-mid-calf-rain-boots-f-original.jpg,https://m.media-amazon.com/images/I/51j+1wlEV8L._AC_UL320_.jpg,Amazon India
Shoes,Women,0.8071721196174622,"Extra Soft Fashionable & Stylish Slippers/High Heels Designer Wedges Sandal for Girls/Women (Green, 41)",ArranQue,Shoes,Women,899.0,499.0,affordable,budget,affordable,affordable,,extra-soft-fashionable-stylish-slippershigh-heels--original.jpg,https://m.media-amazon.com/images/I/617nujTj8FL._AC_UL320_.jpg,Amazon India,Women's Rain Boots Waterproof Mid Calf Rain Boots for Outdoor Camping Travel,Lyla,Shoes,Women,6299.0,3168.0,expensive,unknown,expensive,expensive,,womens-rain-boots-waterproof-mid-calf-rain-boots-f-original.jpg,https://m.media-amazon.com/images/I/51j+1wlEV8L._AC_UL320_.jpg,Amazon India
Shoes,Women,0.8071721196174622,"Extra Soft Fashionable & Stylish Slippers/High Heels Designer Wedges Sandal for Girls/Women (White, 39)",ArranQue,Shoes,Women,899.0,499.0,affordable,budget,affordable,affordable,,extra-soft-fashionable-stylish-slippershigh-heels--original.jpg,https://m.media-amazon.com/images/I/61z5qea+ofL._AC_UL320_.jpg,Amazon India,Women's Rain Boots Waterproof Mid Calf Rain Boots for Outdoor Camping Travel,Lyla,Shoes,Women,6299.0,3168.0,expensive,unknown,expensive,expensive,,womens-rain-boots-waterproof-mid-calf-rain-boots-f-original.jpg,https://m.media-amazon.com/images/I/51j+1wlEV8L._AC_UL320_.jpg,Amazon India
Shoes,Women,0.8913631439208984,Women Designer Pencil Heel Sandal For Women Latest and Fancy High Heel Sandal (Green- 41),SHOE CRAFT,Shoes,Women,1199.0,599.0,affordable,budget,affordable,affordable,,women-designer-pencil-heel-sandal-for-women-latest-original.jpg,https://m.media-amazon.com/images/I/61DJTu12eTL._AC_UL320_.jpg,Amazon India,Froh Feet Women's Chunky Platform High Heels Closed Toe Block Heeled Sandal Slip-on Sandal Dress Wedding Party Pumps Shoes,Generic,Shoes,Women,3495.0,1299.0,expensive,unknown,expensive,expensive,,froh-feet-womens-chunky-platform-high-heels-closed-original.jpg,https://m.media-amazon.com/images/I/81mvz9N7hIL._AC_UL320_.jpg,Amazon India
Shoes,Women,0.8071721196174622,"Extra Soft Fashionable & Stylish Slippers/High Heels Designer Wedges Sandal for Girls/Women (Pink, 40)",ArranQue,Shoes,Women,899.0,499.0,affordable,budget,affordable,affordable,,extra-soft-fashionable-stylish-slippershigh-heels--original.jpg,https://m.media-amazon.com/images/I/61b8+YpPvAL._AC_UL320_.jpg,Amazon India,Women's Rain Boots Waterproof Mid Calf Rain Boots for Outdoor Camping Travel,Lyla,Shoes,Women,6299.0,3168.0,expensive,unknown,expensive,expensive,,womens-rain-boots-waterproof-mid-calf-rain-boots-f-original.jpg,https://m.media-amazon.com/images/I/51j+1wlEV8L._AC_UL320_.jpg,Amazon India
Shoes,Women,0.8567712903022766,Women’s Platform Block Heel Sandals with Adjustable Strap | High-Heel Sandal | Comfortable and Stylish for Prom Evening Parties & Events,JM LOOKS,Shoes,Women,2995.0,1149.0,expensive,budget,affordable,affordable,,womens-platform-block-heel-sandals-with-adjustable-original.jpg,https://m.media-amazon.com/images/I/71qqe9YFyyL._AC_UL320_.jpg,Amazon India,"Women Latin Dance Shoes Sandals for Salsa, Tango, Ballroom Performance or Practice",IKAANYA,Shoes,Women,6500.0,3759.0,expensive,unknown,expensive,expensive,,women-latin-dance-shoes-sandals-for-salsa-tango-ba-original.jpg,https://m.media-amazon.com/images/I/51VS2n6XN0L._AC_UL320_.jpg,Amazon India
Shoes,Women,0.9114953875541687,Slingback Heels for Women Pointed Toe Stiletto High Heels Stretch Slip on Backless Fashion Comfortable Dress Pumps Shoes,JM LOOKS,Shoes,Women,1995.0,999.0,affordable,budget,affordable,affordable,,slingback-heels-for-women-pointed-toe-stiletto-hig-original.jpg,https://m.media-amazon.com/images/I/51nwHOem+fL._AC_UL320_.jpg,Amazon India,"Bliss Heel 002 Slip-on Loafers for Women | Comfortable & Stylish Block Heeled | Fashion Moccasins with Footpharma Footbed | Perfect for Casual, Formal Shoe",YOHO,Shoes,Women,2898.0,1593.0,expensive,unknown,expensive,expensive,,bliss-heel-002-slipon-loafers-for-women-comfortabl-original.jpg,https://m.media-amazon.com/images/I/615K20+dDxL._AC_UL320_.jpg,Amazon India
Shoes,Women,0.8071722388267517,"Extra Soft Fashionable & Stylish Slippers/High Heels Designer Wedges Sandal for Girls/Women (Pink, 38)",ArranQue,Shoes,Women,899.0,499.0,affordable,budget,affordable,affordable,,extra-soft-fashionable-stylish-slippershigh-heels--original.jpg,https://m.media-amazon.com/images/I/61b8+YpPvAL._AC_UL320_.jpg,Amazon India,Women's Rain Boots Waterproof Mid Calf Rain Boots for Outdoor Camping Travel,Lyla,Shoes,Women,6299.0,3168.0,expensive,unknown,expensive,expensive,,womens-rain-boots-waterproof-mid-calf-rain-boots-f-original.jpg,https://m.media-amazon.com/images/I/51j+1wlEV8L._AC_UL320_.jpg,Amazon India
Shoes,Women,0.8630177974700928,SilverArrow,SilverArrow,Shoes,Women,2999.0,1099.0,expensive,budget,affordable,affordable,,silverarrow-original.jpg,https://m.media-amazon.com/images/I/41wngriir6L._AC_UL320_.jpg,Amazon India,By Regal Women High Heel Suede Espadrilles,ROCIA,Shoes,Women,3290.0,3290.0,expensive,unknown,expensive,expensive,,by-regal-women-high-heel-suede-espadrilles-original.jpg,https://m.media-amazon.com/images/I/61GNIkC1saL._AC_UL320_.jpg,Amazon India
